
2017-08-10 23:44:09,138 proc_top starting

2017-08-10 23:44:19,139
   pid name                  utime  stime  pct
    24 (ipu1_task)               0     10   1%
   924 (telem_up)                1      5   1%
   937 (python)                  6      0   1%
   926 (pixrc_ser)               0      5   1%

2017-08-10 23:52:09,139
   pid name                  utime  stime  pct
   923 (telem_down)             38    222  26%
   935 (python)                179     14  19%
   938 (python)                 90     28  12%
    64 (kworker/0:2)             0     78   8%
   936 (python)                 44      8   5%
    13 (kworker/0:1)             0     43   4%
   931 (vidsrc:src)             27     12   4%
   908 (dataflash_logge)        10     27   4%
   919 (python)                 26      8   3%
   921 (pixrc_udp)              12     20   3%
    24 (ipu1_task)               0     11   1%
   937 (python)                  6      1   1%
   926 (pixrc_ser)               0      6   1%
   924 (telem_up)                0      6   1%

2017-08-10 23:52:19,139
   pid name                  utime  stime  pct
   923 (telem_down)             42    228  27%
   935 (python)                182      8  19%
    13 (kworker/0:1)             0    126  13%
   938 (python)                 82     34  12%
   936 (python)                 46      5   5%
   931 (vidsrc:src)             27     13   4%
   908 (dataflash_logge)        11     28   4%
   921 (pixrc_udp)              26     12   4%
   919 (python)                 29      6   4%
    24 (ipu1_task)               0     10   1%
   937 (python)                  7      0   1%
   926 (pixrc_ser)               1      4   1%
   924 (telem_up)                1      4   1%

2017-08-10 23:52:29,139
   pid name                  utime  stime  pct
   923 (telem_down)             34    242  28%
   935 (python)                187     12  20%
    13 (kworker/0:1)             0    129  13%
   938 (python)                 87     34  12%
   936 (python)                 37     15   5%
   921 (pixrc_udp)               0     43   4%
   931 (vidsrc:src)             30     11   4%
   908 (dataflash_logge)        15     25   4%
   919 (python)                 27      7   3%
    24 (ipu1_task)               0     10   1%
   937 (python)                  7      0   1%
   924 (telem_up)                2      4   1%
   926 (pixrc_ser)               1      4   1%

2017-08-10 23:52:39,139
   pid name                  utime  stime  pct
   923 (telem_down)             35    232  27%
   935 (python)                179     14  19%
    13 (kworker/0:1)             0    124  12%
   938 (python)                 93     24  12%
   936 (python)                 48      3   5%
   931 (vidsrc:src)             28     13   4%
   908 (dataflash_logge)        12     26   4%
   919 (python)                 25      9   3%
   921 (pixrc_udp)               7     26   3%
    24 (ipu1_task)               0     11   1%
   924 (telem_up)                0      6   1%
   937 (python)                  6      0   1%
   926 (pixrc_ser)               0      5   1%

2017-08-10 23:52:49,139
   pid name                  utime  stime  pct
   923 (telem_down)             33    219  25%
   935 (python)                165     15  18%
    13 (kworker/0:1)             0    119  12%
   938 (python)                 85     25  11%
   936 (python)                 38     13   5%
   931 (vidsrc:src)             22     17   4%
   921 (pixrc_udp)              17     21   4%
   908 (dataflash_logge)        12     24   4%
   919 (python)                 28      5   3%
    24 (ipu1_task)               0     10   1%
   924 (telem_up)                0      6   1%
   937 (python)                  6      0   1%
   926 (pixrc_ser)               0      5   1%

2017-08-10 23:52:59,139
   pid name                  utime  stime  pct
   923 (telem_down)             26    244  27%
   935 (python)                168     17  19%
    13 (kworker/0:1)             0    125  13%
   938 (python)                 80     32  11%
   936 (python)                 45      8   5%
   931 (vidsrc:src)             29     12   4%
   908 (dataflash_logge)        10     30   4%
   921 (pixrc_udp)               2     36   4%
   919 (python)                 29      5   3%
    24 (ipu1_task)               0     10   1%
    71 (mmcqd/0)                 0      7   1%
   937 (python)                  7      0   1%
